;date;mac;provider;access_point;signal_strength;quality;unknown2;frequency;stations;device;station_count
9;3-12-2021 13:13:14;84:3D:C6:C7:BC:DF;Cisco Systems Inc.;eduroam;-78;43;;Ch 48 [5.240 GHz];0 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
12;3-12-2021 13:13:14;00:3A:7D:27:B9:E0;Cisco Systems Inc.;eduroam;-77;46;;Ch 1 [2.412 GHz];6 Stations, 46Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];6
37;3-12-2021 13:13:14;00:3A:7D:34:D9:10;Cisco Systems Inc.;eduroam;-79;40;;Ch 6 [2.437 GHz];1 Station, 26Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
44;3-12-2021 13:13:14;84:3D:C6:B9:38:EF;Cisco Systems Inc.;eduroam;-83;31;;Ch 116 [5.580 GHz];0 Stations, 7Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
46;3-12-2021 13:13:14;84:3D:C6:B9:3B:0F;Cisco Systems Inc.;eduroam;-82;31;;Ch 40 [5.200 GHz];7 Stations, 4Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];7
50;3-12-2021 13:13:14;84:3D:C6:B9:38:E0;Cisco Systems Inc.;eduroam;-80;38;;Ch 6 [2.437 GHz];0 Stations, 43Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
55;3-12-2021 13:13:14;84:3D:C6:AD:AF:90;Cisco Systems Inc.;eduroam;-75;53;;Ch 11 [2.462 GHz];1 Station, 52Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
56;3-12-2021 13:13:14;84:3D:C6:BD:31:00;Cisco Systems Inc.;eduroam;-84;29;;Ch 11 [2.462 GHz];2 Stations, 43Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
61;3-12-2021 13:13:14;84:3D:C6:C7:EE:9F;Cisco Systems Inc.;eduroam;-67;75;;Ch 64 [5.320 GHz];5 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];5
75;3-12-2021 13:13:14;84:3D:C6:B9:3B:00;Cisco Systems Inc.;eduroam;-77;46;;Ch 11 [2.462 GHz];0 Stations, 48Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
76;3-12-2021 13:13:14;84:3D:C6:B8:E8:4F;Cisco Systems Inc.;eduroam;-76;50;;Ch 116 [5.580 GHz];2 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
83;3-12-2021 13:13:14;84:3D:C6:B8:F9:DF;Cisco Systems Inc.;eduroam;-66;78;;Ch 140 [5.700 GHz];5 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];5
84;3-12-2021 13:13:14;84:3D:C6:B8:E8:40;Cisco Systems Inc.;eduroam;-70;67;;Ch 11 [2.462 GHz];2 Stations, 65Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
86;3-12-2021 13:13:14;84:3D:C6:B9:2E:00;Cisco Systems Inc.;eduroam;-80;38;;Ch 1 [2.412 GHz];3 Stations, 58Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];3
87;3-12-2021 13:13:14;84:3D:C6:C7:C1:80;Cisco Systems Inc.;eduroam;-78;43;;Ch 6 [2.437 GHz];2 Stations, 40Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
94;3-12-2021 13:13:14;84:3D:C6:C7:BC:D0;Cisco Systems Inc.;eduroam;-80;38;;Ch 11 [2.462 GHz];0 Stations, 55Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
95;3-12-2021 13:13:14;84:3D:C6:BD:42:70;Cisco Systems Inc.;eduroam;-78;43;;Ch 1 [2.412 GHz];0 Stations, 53Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
96;3-12-2021 13:13:14;84:3D:C6:B8:F9:D0;Cisco Systems Inc.;eduroam;-56;85;;Ch 1 [2.412 GHz];1 Station, 64Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
102;3-12-2021 13:13:14;84:3D:C6:BD:42:7F;Cisco Systems Inc.;eduroam;-74;52;;Ch 100 [5.500 GHz];12 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];12
105;3-12-2021 13:13:14;84:3D:C6:C7:EE:90;Cisco Systems Inc.;eduroam;-63;81;;Ch 11 [2.462 GHz];1 Station, 30Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
117;3-12-2021 13:13:19;84:3D:C6:C7:BC:DF;Cisco Systems Inc.;eduroam;-78;43;;Ch 48 [5.240 GHz];0 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
120;3-12-2021 13:13:19;00:3A:7D:27:B9:E0;Cisco Systems Inc.;eduroam;-77;46;;Ch 1 [2.412 GHz];6 Stations, 46Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];6
145;3-12-2021 13:13:19;00:3A:7D:34:D9:10;Cisco Systems Inc.;eduroam;-79;40;;Ch 6 [2.437 GHz];1 Station, 29Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
153;3-12-2021 13:13:19;84:3D:C6:B9:3B:0F;Cisco Systems Inc.;eduroam;-82;31;;Ch 40 [5.200 GHz];7 Stations, 4Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];7
157;3-12-2021 13:13:19;84:3D:C6:B9:38:E0;Cisco Systems Inc.;eduroam;-79;40;;Ch 6 [2.437 GHz];0 Stations, 40Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
161;3-12-2021 13:13:19;84:3D:C6:AD:AF:90;Cisco Systems Inc.;eduroam;-75;53;;Ch 11 [2.462 GHz];1 Station, 52Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
165;3-12-2021 13:13:19;84:3D:C6:C7:EE:9F;Cisco Systems Inc.;eduroam;-65;80;;Ch 64 [5.320 GHz];5 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];5
179;3-12-2021 13:13:19;84:3D:C6:B8:E8:4F;Cisco Systems Inc.;eduroam;-79;40;;Ch 116 [5.580 GHz];2 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
185;3-12-2021 13:13:19;84:3D:C6:B8:F9:DF;Cisco Systems Inc.;eduroam;-66;78;;Ch 140 [5.700 GHz];5 Stations, 0Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];5
186;3-12-2021 13:13:19;84:3D:C6:B8:E8:40;Cisco Systems Inc.;eduroam;-70;67;;Ch 11 [2.462 GHz];2 Stations, 65Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];2
188;3-12-2021 13:13:19;84:3D:C6:B9:2E:00;Cisco Systems Inc.;eduroam;-78;43;;Ch 1 [2.412 GHz];3 Stations, 54Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];3
195;3-12-2021 13:13:19;84:3D:C6:C7:BC:D0;Cisco Systems Inc.;eduroam;-80;38;;Ch 11 [2.462 GHz];0 Stations, 55Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
196;3-12-2021 13:13:19;84:3D:C6:BD:42:70;Cisco Systems Inc.;eduroam;-78;43;;Ch 1 [2.412 GHz];0 Stations, 53Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];0
197;3-12-2021 13:13:19;84:3D:C6:B8:F9:D0;Cisco Systems Inc.;eduroam;-57;84;;Ch 1 [2.412 GHz];1 Station, 65Xhannel Utilization;Wi-Fi [Intel(R) Wireless-AC 9560 160MHz];1
