date,mac,provider,access_point,signal_strength,"quality,unknown2",frequency,stations,device,station_count
2021/12/6 16:40:34,00:A6:CA:5B:48:60,"""Cisco Systems Inc.""","""eduroam""",-58,70,,"""Ch 1 [2.412 GHz]""","""6 Stations, 58Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","6
"
2021/12/6 16:40:34,00:A6:CA:57:09:1F,"""Cisco Systems Inc.""","""eduroam""",-70,50,,"""Ch 56 [5.280 GHz]""","""23 Stations, 0Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","23
"
2021/12/6 16:40:34,84:3D:C6:B9:40:10,"""Cisco Systems Inc.""","""eduroam""",-73,45,,"""Ch 11 [2.462 GHz]""","""1 Station, 8Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","1
"
2021/12/6 16:40:34,84:3D:C6:C7:BF:D0,"""Cisco Systems Inc.""","""eduroam""",-72,46,,"""Ch 6 [2.437 GHz]""","""2 Stations, 50Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","2
"
2021/12/6 16:40:34,00:3A:7D:12:43:C0,"""Cisco Systems Inc.""","""eduroam""",-81,31,,"""Ch 11 [2.462 GHz]""","""3 Stations, 42Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","3
"
2021/12/6 16:40:34,00:A6:CA:5B:46:AF,"""Cisco Systems Inc.""","""eduroam""",-71,48,,"""Ch 64 [5.320 GHz]""","""7 Stations, 1Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","7
"
2021/12/6 16:40:34,00:A6:CA:57:36:80,"""Cisco Systems Inc.""","""eduroam""",-57,99,,"""Ch 6 [2.437 GHz]""","""7 Stations, 64Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","7
"
2021/12/6 16:40:34,00:A6:CA:5A:6B:0F,"""Cisco Systems Inc.""","""eduroam""",-69,51,,"""Ch 100 [5.500 GHz]""","""20 Stations, 10Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","20
"
2021/12/6 16:40:34,00:A6:CA:5B:47:EF,"""Cisco Systems Inc.""","""eduroam""",-79,35,,"""Ch 48 [5.240 GHz]""","""12 Stations, 3Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","12
"
2021/12/6 16:40:34,00:A6:CA:57:09:10,"""Cisco Systems Inc.""","""eduroam""",-60,66,,"""Ch 6 [2.437 GHz]""","""6 Stations, 58Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","6
"
2021/12/6 16:40:34,00:A6:CA:5B:48:6F,"""Cisco Systems Inc.""","""eduroam""",-67,55,,"""Ch 132 [5.660 GHz]""","""17 Stations, 1Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","17
"
2021/12/6 16:40:34,84:3D:C6:C7:C1:80,"""Cisco Systems Inc.""","""eduroam""",-76,40,,"""Ch 6 [2.437 GHz]""","""5 Stations, 47Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","5
"
2021/12/6 16:40:34,00:A6:CA:57:36:8F,"""Cisco Systems Inc.""","""eduroam""",-74,43,,"""Ch 40 [5.200 GHz]""","""11 Stations, 16Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","11
"
2021/12/6 16:40:34,84:3D:C6:B8:F8:C0,"""Cisco Systems Inc.""","""eduroam""",-78,36,,"""Ch 6 [2.437 GHz]""","""0 Stations, 37Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 16:40:34,84:3D:C6:C7:BF:DF,"""Cisco Systems Inc.""","""eduroam""",-70,50,,"""Ch 104 [5.520 GHz]""","""16 Stations, 1Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","16
"
2021/12/6 16:40:34,84:3D:C6:AD:B0:D0,"""Cisco Systems Inc.""","""eduroam""",-73,45,,"""Ch 1 [2.412 GHz]""","""2 Stations, 45Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","2
"
2021/12/6 16:40:34,84:3D:C6:AD:B0:DF,"""Cisco Systems Inc.""","""eduroam""",-78,36,,"""Ch 48 [5.240 GHz]""","""1 Station, 0Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","1
"
2021/12/6 16:40:34,00:A6:CA:5B:46:A0,"""Cisco Systems Inc.""","""eduroam""",-64,60,,"""Ch 11 [2.462 GHz]""","""3 Stations, 46Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","3
"
2021/12/6 16:40:34,00:A6:CA:57:39:8F,"""Cisco Systems Inc.""","""eduroam""",-76,40,,"""Ch 44 [5.220 GHz]""","""13 Stations, 12Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","13
"
2021/12/6 16:40:34,00:A6:CA:5A:6B:00,"""Cisco Systems Inc.""","""eduroam""",-49,85,,"""Ch 6 [2.437 GHz]""","""0 Stations, 54Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 16:40:35,00:A6:CA:5E:38:C0,"""Cisco Systems Inc.""","""eduroam""",-63,61,,"""Ch 1 [2.412 GHz]""","""2 Stations, 75Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","2
"
2021/12/6 16:40:35,00:A6:CA:5E:38:CF,"""Cisco Systems Inc.""","""eduroam""",-71,48,,"""Ch 60 [5.300 GHz]""","""13 Stations, 2Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","13
"
2021/12/6 16:40:35,00:A6:CA:57:39:80,"""Cisco Systems Inc.""","""eduroam""",-63,61,,"""Ch 6 [2.437 GHz]""","""7 Stations, 48Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","7
"
2021/12/6 16:40:35,00:A6:CA:55:D9:EF,"""Cisco Systems Inc.""","""eduroam""",-76,40,,"""Ch 36 [5.180 GHz]""","""4 Stations, 1Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","4
"
2021/12/6 16:40:35,00:A6:CA:55:D9:E0,"""Cisco Systems Inc.""","""eduroam""",-68,53,,"""Ch 1 [2.412 GHz]""","""0 Stations, 58Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","0
"
2021/12/6 16:40:40,00:A6:CA:5B:48:60,"""Cisco Systems Inc.""","""eduroam""",-55,75,,"""Ch 1 [2.412 GHz]""","""6 Stations, 38Xhannel Utilization""","""WLAN [Intel(R) Dual Band Wireless-AC 3168]""","6
"
