date,mac,provider,access_point,signal_strength,"quality,unknown2",frequency,stations,device,station_count
﻿12/6/2021 4:37:57 PM,00:3A:7D:34:E7:70,"""Cisco Systems Inc.""","""eduroam""",-75,53,,"""Ch 11 [2.462 GHz]""","""0 Stations, 56Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","0
"
12/6/2021 4:37:57 PM,00:3A:7D:34:E4:F0,"""Cisco Systems Inc.""","""eduroam""",-83,31,,"""Ch 1 [2.412 GHz]""","""0 Stations, 41Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","0
"
12/6/2021 4:37:57 PM,00:3A:7D:21:46:D0,"""Cisco Systems Inc.""","""eduroam""",-77,46,,"""Ch 1 [2.412 GHz]""","""1 Station, 61Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","1
"
12/6/2021 4:37:57 PM,00:3A:7D:21:46:2F,"""Cisco Systems Inc.""","""eduroam""",-75,53,,"""Ch 132 [5.660 GHz]""","""21 Stations, 20Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","21
"
12/6/2021 4:37:58 PM,84:3D:C6:C7:EF:5F,"""Cisco Systems Inc.""","""eduroam""",-78,43,,"""Ch 116 [5.580 GHz]""","""0 Stations, 0Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","0
"
12/6/2021 4:37:58 PM,00:3A:7D:21:46:DF,"""Cisco Systems Inc.""","""eduroam""",-77,46,,"""Ch 104 [5.520 GHz]""","""21 Stations, 3Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","21
"
12/6/2021 4:37:58 PM,00:3A:7D:34:7B:4F,"""Cisco Systems Inc.""","""eduroam""",-53,86,,"""Ch 100 [5.500 GHz]""","""2 Stations, 18Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","2
"
12/6/2021 4:37:58 PM,00:3A:7D:34:E7:7F,"""Cisco Systems Inc.""","""eduroam""",-84,29,,"""Ch 56 [5.280 GHz]""","""16 Stations, 8Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","16
"
12/6/2021 4:37:58 PM,84:3D:C6:B9:1A:6F,"""Cisco Systems Inc.""","""eduroam""",-76,50,,"""Ch 52 [5.260 GHz]""","""1 Station, 13Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","1
"
12/6/2021 4:37:58 PM,84:3D:C6:B9:26:80,"""Cisco Systems Inc.""","""eduroam""",-73,60,,"""Ch 6 [2.437 GHz]""","""0 Stations, 40Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","0
"
12/6/2021 4:37:58 PM,84:3D:C6:B9:1A:60,"""Cisco Systems Inc.""","""eduroam""",-64,80,,"""Ch 6 [2.437 GHz]""","""1 Station, 31Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","1
"
12/6/2021 4:37:58 PM,00:3A:7D:34:EA:30,"""Cisco Systems Inc.""","""eduroam""",-73,60,,"""Ch 6 [2.437 GHz]""","""1 Station, 31Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","1
"
12/6/2021 4:37:58 PM,00:3A:7D:21:46:20,"""Cisco Systems Inc.""","""eduroam""",-65,80,,"""Ch 1 [2.412 GHz]""","""0 Stations, 70Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","0
"
12/6/2021 4:37:58 PM,00:3A:7D:27:B5:F0,"""Cisco Systems Inc.""","""eduroam""",-76,50,,"""Ch 1 [2.412 GHz]""","""1 Station, 44Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","1
"
12/6/2021 4:37:58 PM,84:3D:C6:B4:DF:30,"""Cisco Systems Inc.""","""eduroam""",-71,65,,"""Ch 1 [2.412 GHz]""","""1 Station, 32Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","1
"
12/6/2021 4:37:58 PM,84:3D:C6:B9:21:90,"""Cisco Systems Inc.""","""eduroam""",-75,53,,"""Ch 1 [2.412 GHz]""","""1 Station, 50Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","1
"
12/6/2021 4:37:58 PM,00:3A:7D:34:7B:40,"""Cisco Systems Inc.""","""eduroam""",-48,89,,"""Ch 1 [2.412 GHz]""","""1 Station, 48Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","1
"
12/6/2021 4:37:58 PM,84:3D:C6:C7:F2:10,"""Cisco Systems Inc.""","""eduroam""",-84,29,,"""Ch 11 [2.462 GHz]""","""0 Stations, 53Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","0
"
12/6/2021 4:37:58 PM,00:3A:7D:34:E5:E0,"""Cisco Systems Inc.""","""eduroam""",-75,53,,"""Ch 11 [2.462 GHz]""","""0 Stations, 39Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","0
"
12/6/2021 4:37:58 PM,00:3A:7D:12:43:D0,"""Cisco Systems Inc.""","""eduroam""",-73,60,,"""Ch 11 [2.462 GHz]""","""0 Stations, 39Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","0
"
12/6/2021 4:37:58 PM,84:3D:C6:C7:EF:50,"""Cisco Systems Inc.""","""eduroam""",-67,75,,"""Ch 11 [2.462 GHz]""","""1 Station, 43Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","1
"
12/6/2021 4:37:58 PM,00:3A:7D:27:B5:FF,"""Cisco Systems Inc.""","""eduroam""",-83,31,,"""Ch 40 [5.200 GHz]""","""9 Stations, 2Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","9
"
12/6/2021 4:37:58 PM,00:3A:7D:12:43:DF,"""Cisco Systems Inc.""","""eduroam""",-85,26,,"""Ch 52 [5.260 GHz]""","""8 Stations, 22Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","8
"
12/6/2021 4:37:58 PM,84:3D:C6:AD:80:C0,"""Cisco Systems Inc.""","""eduroam""",-81,35,,"""Ch 6 [2.437 GHz]""","""2 Stations, 31Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","2
"
12/6/2021 4:37:58 PM,84:3D:C6:B9:21:9F,"""Cisco Systems Inc.""","""eduroam""",-87,22,,"""Ch 132 [5.660 GHz]""","""0 Stations, 5Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","0
"
12/6/2021 4:37:58 PM,00:3A:7D:34:E5:EF,"""Cisco Systems Inc.""","""eduroam""",-86,24,,"""Ch 36 [5.180 GHz]""","""2 Stations, 3Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","2
"
12/6/2021 4:37:58 PM,84:3D:C6:C7:BB:70,"""Cisco Systems Inc.""","""eduroam""",-77,46,,"""Ch 11 [2.462 GHz]""","""0 Stations, 52Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","0
"
12/6/2021 4:37:58 PM,00:3A:7D:34:EA:3F,"""Cisco Systems Inc.""","""eduroam""",-89,18,,"""Ch 108 [5.540 GHz]""","""8 Stations, 7Xhannel Utilization""","""Wi-Fi [Intel(R) Wi-Fi 6 AX201 160MHz]""","8
"
